word,inspector,Creator,long-definition,origin,tag,example,"link(img,def)",short-definition,date,similar_words,,,审核是否完成,
做人需要留一手,Phoebe,Ella,你只想救他们一命，他们却想着给你上一课，人性之恶，让人反感。,出自5月9日北京房山蓝天救援队的一次令人心酸的救援事件，当他们历经了18个小时的救援，将18名受困驴友安全送下山，还中途把自己的水送给他们导致自己后半夜全部断水后，到了山下安全地带，一名年轻驴友竟然从包里掏出两瓶水，还泡起了茶。,生活,要在现在的社会存活下来，做人需要留一手。,,下山泡茶,5/14/2021,[],,,完成,
fyfy,Phoebe,Ella,翻云覆雨的缩写，指陈飞宇和罗云熙的cp名。,出自电视剧《皓衣行》中演员陈飞宇和罗云熙的cp名。,生活,嗑完王一博和肖战这对cp后还能嗑fyfy，简直太幸福了吧！,,陈飞宇和罗云熙最强cp！,5/13/2021,[],,,完成,
grwm,Phoebe,Ella,“Get ready with me”的英文首字母缩写，表示跟我一起化妆吧，常用于这类美妆博主的化妆视频里。,出自国外的美妆博主视频里，经常用来作为视频的标题，开场白，或者视频里随口说的一句话。,生活,哇我也超喜欢一边化妆一边看这位博主的grwm的！,,和我一起化妆吧,5/21/2021,"['rgwan', 'GRWM']",,,完成,
三大顶流,Phoebe,Ella,指娱乐圈传说中三大明星 “张一山、范丞丞、关晓彤”去南京大学拍戏，本以为围观的学生人山人海，却发现学校没人理他们，有着嘲讽的意思。,出自张一山、范丞丞、关晓彤在南京大学鼓楼校区拍摸电视剧的时候，带了多个保镖和助理，本以为拍戏现场会人山人海，结果南大学生压根没注意他们。据了解，剧组在大学校园找群演，75元一位，但是并没有人响应。,饭圈,瞧你这蜜汁自信，真以为你是娱乐圈三大顶流了。,,虚惊一场,5/21/2021,[],,,完成,
爱奇艺倒牛奶,Phoebe,Ella,指资本加持的饭圈，已经到了丧心病狂的地步。,出自《青春有你3》粉丝为偶像助力时的现象，此选秀节目原本策划的投票方式是让粉丝购买赞助商牛奶，扫瓶盖内二维码为爱豆助力，于是不少粉丝买了牛奶后喝不完只能雇人倒进下水道。,饭圈,这爱奇艺倒牛奶事件成功记录了国内粉丝的狂热。,,为自己喜欢的爱豆投票～,5/7/2021,[],,,完成,
丑橘,Phoebe,Ella,指长相普通又爱酸别人的女生。,出自微博博主“人美心善美羊羊”的一条微博：“当普女最可怕的就是遇到一群普女，彼此互相洗脑自己已经很美了，不需要再努力改变了，纷纷懒散的做温室里的丑橘，陶醉在虚假的夸赞中，自我澎湃，集体狂欢。春天来了，丑橘挂满枝头，丑女成群结队。”,生活,宁愿去做绿茶也不要做丑橘！,,低配版绿茶,5/9/2021,[],,,完成,
男生也有梦想,Phoebe,Ella,指乃万说的一段鼓励男女平等的话，却因为这句话被微博女权冲了。,出自乃万在江小白yolo文化节上演唱他的歌曲《Boy》时说的一段话，其中提到了男生们到了18岁会放弃之前的梦想开始努力买房买车，所以鼓励粉丝们给心爱的男孩一些宽容和理解。,饭圈,男生也有梦想，比如说我小词，在成年前原本想去做爱豆的。,,男女平等？,5/8/2021,[],,,完成,有点不确定是不是相反的含义，其实应该是女权用来反讽的。这件事本来就controversial这个解释有点感觉不够中立。
徒步阿龙,Phoebe,Ella,指的是龙丽，一位经常爱用十分低俗恶臭语句的主播。,出自主播龙丽直播时的低俗恶劣行为，经常喜欢连麦一些不认识的女生，然后开始说一些非常私密而写直白的话。,直播,看了徒步阿龙感觉整个人都不好了。,,人渣,5/8/2021,[],,,完成,
吴可救药,Phoebe,Ella,指的是吴亦凡与药水哥的cp名称,,生活,,,,,[],,,完成,
蒙古上单,Phoebe,Ella,指B站一位当众冲塔的用户。,,生活,,,,,[],,,完成,
抗吧手冲圣经,Phoebe,Ella,指最近在抗压吧流行的一段时手冲圣经，由于其离谱的内容和乐观的状态反差很大，因此被万能改变。,出自抗压吧。,生活,不明,https://drive.google.com/file/d/1UysMEYx7DbNzx9oURoCUh7Lkh-eYRZaN/view?usp=sharing,不明,5/2/2021,[],,,完成,没懂
他真的好温柔，我真的哭死,Phoebe,Ella,原版内容是“他真的……为什么有这么……我真的哭死，我不会形容，他真的好温柔…”,出自2021年2月，b站动漫up主LexBurner因为发表 “看无职转生的人都是社会底层” 等言论，以及拉踩其它up主的行为，受到了全网声讨。随后他的女粉就评论说LexBurne是为了保护粉丝牺牲了自己选择接受B站的处罚并道歉的，该评论中就出现了“他真的……为什么有这么……我真的哭死，我不会形容，他真的好温柔…”的句子。,二次元,他昨天抢劫了一位老奶奶的钱包，后来被警方抓到后还给了她，他真的好温柔，我真的哭死！,,不明,2021年2月,[],,,完成,
蛋卷,Phoebe,Ella,指《睡前消息》节目里常驻宠物嘉宾：蛋卷。蛋卷于2021年4月因高楼坠落去世。,出自《睡前消息》，是主播马前卒养的宠物猫。,生活,蛋卷永远活在我们的心里！,,RIP蛋卷,2/5/2021,[],,,完成,
深房理,Phoebe,Ella,指深圳特区悄悄盛行的一种将房产证券化的犯罪行为。,出自微博@深房理，博主给想炒房但资金有限的粉丝出了个主意并带领粉丝实践：加群，群友多人合资购买一套房，分别持有房子的百分之几，就像买公司股票一样，到时候对自己持有的百分之几和群友进行买卖。,生活,我觉得最有潜力的股票是深房理！,,用房子卖股票,4/25/2021,[],,,完成,
我只会心疼giegie,Phoebe,Ella,绿茶名场面！,,生活,,,,,"['只会心疼giegie', 'giegie', '我只会心疼gie gie']",,,完成,
店无书砸,Phoebe,Ella,指发言或者评论说得太好太经典了，赶快出著作吧，书店要是没你的书，我都把书店给砸了。,出自B站沙雕网友，在一些搞笑或者比较欢乐的视频的评论区想出一些符合视频原内容的谐音梗或者骚话 ，而这些评论一般都能上热评，在这些热评的回复区，就会有书无店砸的回复。,生活,看了C君视频里的弹幕后，唯一的感悟就是店无书砸。,,店要是没你的书，我都把书店给砸了,1/2/2021,[],,,完成,
哎，就是玩儿,Phoebe,Ella,抖人梗，固定格式为：有xx，我不xx，我就要xx，哎，就是玩儿。主要是表达我就是来搞笑、来玩儿的。,出自抖音,生活,有屁，我不放，我就憋着，哎，就是玩儿。,,Why so serious,4/12/2021,['就是玩儿'],,,完成,
自信直男,Phoebe,Ella,自信直男指的是部分男性很平凡但是却很自信。,,生活,,,,,[],,,完成,
抖人,Phoebe,Ella,指抖音用户，玩抖音的人。,出自2016年9月上线的抖音。,生活,现在抖音火到几乎身边所有人都是抖人。,,不明,4/8/2021,[],,,完成,
我像只鱼儿在你的核塘,Phoebe,Ella,指日本政府毫无人性毫无责任心地将福岛核泄漏废水排入太平洋的做法。改编了凤凰传奇的歌曲《荷塘月色》。,出自日本政府4月9日决定将福岛第一核电站核污水排入大海的事件。,生活,我像只鱼儿在你的核塘，和你呆的越久越窒息。,,鱼被毒死了,4/20/2021,[],,,完成,
烧,Phoebe,Ella,现代通假字，通“骚”，意思就是很骚或者风骚。,近些年很多视频的评论或者弹幕被净化了，一些字或者句子会被屏蔽，为了对抗这种审查，于是诞生了很多可以表达原意但不会被屏蔽的字，烧就是“骚”的完美替代。,生活,姐妹你怎么可以这么烧呀？,,火辣辣,,['勺'],,,完成,
扎不多德勒,Chloe,Ella,“差不多得了”的谐音，指部分网友看不惯一介文盲丁真天天上新闻，这一切竟然只因为他显得“纯真”。,出自用类似于扎不多德勒的藏语： “扎西德勒”，谐音“差不多得了”，表达真的不愿意再看到有关丁真的一切新闻和热搜了。,生活,扎不多德勒吧大家，丁真的视频有什么好看的呀？,,差不多得了,4/16/2021,[],,,完成,
猎杀时刻（红眼特效）,Chloe,Ella,最近在b站和抖音流行的一种特效，多用于“showtime”的装逼时刻！,出自《王者荣耀》英雄后羿的台词， “苏醒了，猎杀时刻”。红眼特效是ps效果，用来表示一个人很牛逼。,生活,当一只小猫把另一只小猫推下床后：猎杀时刻（红眼特效）,,savage,4/13/2021,[],,,完成,
豆瓣日晷,Chloe,Ella,指台湾演员、歌手林依晨每晚九点睡觉四点起床做家务、六点给公婆请安做饭的封建小媳妇行为，被豆瓣八组用户群嘲为“豆瓣日晷”。,出自4月8日的微博热搜“林依晨作息”,饭圈,不明,,贤妻良母,4/8/2021,[],,,完成,
诸葛亮能北伐成功吗？,Chloe,Ella,指知乎上经常上热榜的nt问题：假如给诸葛亮xxx，诸葛亮能北伐成功吗？,出自知乎,生活,假如给诸葛亮100w匹马，诸葛亮能北伐成功吗？,,不明,4/8/2021,[],,,完成,
达咩,Chloe,Ella,日语“だめ”的谐音，表示 “不行” 的意思，通常会配上吴京的网警头像，显得又正经又搞笑。,出自吴京的消防宣传图，原图其实配文是请勿占用消防车通，但被网友p成了达咩。,生活,好了不用说下去了，达咩。,,停🤚,3/22/2021,['打咩'],,,完成,
癌,Chloe,Ella,华晨宇的的无字新歌《癌》。,出自2014年华晨宇和艺术家陆扬在一个展览中合作的的作品cancerbaby。陆扬将癌具象化一个卡通宝宝，然后华晨宇创作了癌宝宝之歌，但后来华晨宇认为癌不是色彩缤纷的，重新创作了歌曲《癌》。,饭圈,不明,,不明,2014,[],,,完成,
拜登登机,Chloe,Ella,3月19日，美国总统拜登在马里兰州安德鲁斯空军基地登上专机时，连摔三次，于是全球网友开始各种恶搞拜登登机名场面。,出自拜登跌落在空军一号台阶的画面被外国网友疯狂恶搞。,生活,你喝醉酒的样子就如同拜登登机。,,连滚带爬,3/19/2021,['拜登上飞机'],,,完成,
黄天不负有心人,Chloe,Ella,中央气象台3月15日8时发布消息《沙尘暴预警升级：北方12省市出现大范围黄沙》：昨日至今晨，受冷空气影响，新疆南疆盆地西部、甘肃中西部、内蒙古及山西北部、河北北部、北京等地出现扬沙或浮尘，部分地区出现沙尘暴。随后北京朋友开始用这个来疯狂玩梗。,出自汉语成语皇天不负有心人，原本意思比喻上天不会辜负有恒心的人。,生活,绝地求生穷人玩家攒了50个箱子，看来黄天不负有心人啊！,,老天看在眼里,3/16/2021,[],,,完成,
QQㄋㄟㄋㄟ好喝到咩噗茶,Chloe,Ella,珍奶，正常微冰,出自油管博主ChillSeph的视频的搞笑视频，视频里ChillSeph说他要一杯珍珠奶茶，正常微冰，随后服务员说店里没有珍珠奶茶，奶茶加珍珠叫QQㄋㄟㄋㄟ好喝到咩噗茶。,生活,老板，要一杯QQㄋㄟㄋㄟ好喝到咩噗茶！,https://www.youtube.com/watch?v=EJ5zqtNir5o,店里没有珍珠奶茶,11/25/2020,[],,,完成,
小心马恩牌,Chloe,Ella,一种反讽引用。常用来比喻本土保守派对左翼的污名化行为。就是以马克思主义为指导思想的，更有讽刺改旗易帜行为的意思。,出自观察者网的陈平 “要小心美国打马克思的牌，恩格斯的牌”。,生活,不明,,不明,3/9/2021,['马恩牌'],,,完成,
女人只会影响我拔剑的速度,Chloe,Ella,指女人只会影响男生打游戏。,出自电视剧《古剑奇谭》里的大师兄在第45集说的：“剑穂会影响我出剑的速度。”,生活,打游戏的时候得把女朋友关在外面，因为女人只会影响我拔剑的速度。,,没有女人我就能呼风唤雨,9/28/2020,['女人只会影响我拔刀的速度'],,,完成,
寂照庵App,Chloe,Ella,卧龙寺App已停止运营，衍生IP寂照庵App已上线,B站知名不盈利搬运号卧龙寺在2021年1月21号发布了一期标题为的视频后停止更新，引无数网友伤怀，后卧龙寺衍生IP寂照庵在2月18号开始搬运视频。,生活,不明,,再次运营,12/30/2020,[],,,完成,
全员北面,Chloe,Ella,指冬天满大街都是穿着北面（The North Face）羽绒服的人的现象，撞衫率接近100%。,出自2020年冬天，北面羽绒服突然爆火，因为遍地北面，全员北面也就成了一种现象级潮流。,生活,还是北电的剧组霸气，全员北面。,,团结力量大,2/24/2021,[],,,完成,
阳光女孩,Chloe,Ella,指《英雄联盟》中的英雄角色曙光女神,出自《英雄联盟》，因为曙光女神被叫女坦或者日女是不尊重女性，所以被叫阳光女孩。,生活,居然叫女坦或者日女是不尊重女性，以后还是叫阳光女孩吧。,,🌞女孩,2/4/2021,['阳光大男孩'],,,完成,
恒河猴,Chloe,Eric,本指普通猕猴，现常指童年存在创伤，缺失爱和陪伴，余生都无法摆脱影响的人。,出自心理学家哈里·哈洛及他的实验。他为研究婴儿时期亲密关系对人类的影响，经常使用恒河猴进行一些不人道的实验（统称恒河猴实验），如代母实验：将幼猴与两个玩偶猴妈妈关在一起：一个用绒布做成，另一个是铁丝和奶瓶做的。即使铁丝猴母能提供食物，但幼猴还是亲近温暖的布猴母。,学习,“拯救恒河猴的事业，就从我这里开始吧”,,儿时创伤,,,,,完成,
这是你家高粱饴吗,Chloe,Eric,洗脑的带货方式，已成为很多网友的口头禅。,出自抖音博主侯美丽的家乡美食，主要卖高粱饴糖，她的每个带货视频套路都如出一辙由于表情之浮夸，拉的丝之长，让人直夸一声好颜艺，引起了很多网友们的模仿吗，靠“洗脑”、“魔性”成功出圈。,直播,顾客：这是你家高粱饴吗? 博主：大哥你小点声，吓我一跳，等会儿我先尝尝。(尝一口)，这哪是我家高粱饴啊，硬邦邦，不秋不弹，也不拉丝，赶紧拿走吧。,,带货口头禅,,,,,完成,
成人的世界没有愚人节只有Q2,Chloe,Eric,Q2，来源于英语Quarter 2，通常指一年的第二个季度，代指工作指标。成年人的世界里没有愚人节只有Q2指的是成年人的世界里没有空余的时间去过什么特别的节日，只有不停的工作，完成工作指标，非常的劳累，引起了许多人的共鸣，成为了热议的话题。,不明,生活,2021年，4.1，一个Q2开始，是你们的人间四月天，是我的Q2开始了。如果等了一天都没有人来骗你一下，看来你的青春已经过了，再无愚人节，只有Q2。,,成年人的无奈,,,,,完成,
于是转身向山里走去,Chloe,Eric,表示自己恐同的话。因为恐同谐音崆峒(山)，于是大家在遇到耽美剧粉丝疯狂磕糖的时候，可以用于是转身向山里走去这个梗表示自己的心理。,出自歌曲《山海》中的一句歌词。,明星,群内疯狂嗑cp，我：（转身向山里走去）,,“崆峒”,,,,,完成,
什么是快乐星球,Chloe,Eric,是演员马嘉祺小时候在少儿科幻剧《快乐星球》表演的主题曲里的一句歌词，正因为这首歌非常的魔性，听了一遍之后就会被记住，因此很多的网友都争相模仿。,出自《快乐星球5》男主带小帅(马嘉祺饰演，现为时代少年团成员)在第五集中表演的说唱里的一句魔性歌词。,生活,什么是快乐星球？,,洗脑主题曲,,,,,完成,
深圳女孩,Chloe,Eric,泛指一心只想搞钱的女生。由于深圳打拼的女孩儿们给外界的印象都是，聚会一般只谈怎么搞钱和怎么搞更多的钱。深圳买房的人当中超过一半都是女性，且在深圳女性创业者很多等等。,不明,生活,深证女孩：“说我没人要可以，但不能说我赚不到钱!”,,一心只想搞钱的女生,,,,,完成,
基金牛蛙,Chloe,Eric,一只身披红色外皮的青蛙在喊着“牛哇、牛哇、牛哇......”。该“物种”充分展现了年轻的基民们对基金翻红的美好期待和向往。,出自网友在网上放出一段聊天记录，是他的一位朋友给自己点了一只“基金牛蛙”，与“牛哇”同音，寓意基金越来越牛。而且原本悲伤蛙的是绿色的，为了讨个好彩头，改成了红色，寓意是希望网友的基金不再绿，红起来。,生活,基金又亏钱了，赶紧点一只基金牛蛙！,,牛哇牛哇,,,,,完成,
嘉禾望岗,Chloe,Eric,代表着青春的分道扬镳，地铁站附近有很多学校，学校的情侣在这里分手后大概再也见不到了。而且因为地铁站一边通向火车站，一边通向飞机场，很多人在此相遇别离可能就此生再也见不到了。也有一种说法是嘉禾望岗站人流量很大，许多上班族在这里急匆匆的上上下下，奔赴自己的梦想，于是这里成为了很多人的回忆。,出自前段时间在网络上爆火的嘉禾望岗视频，凭借一句 “向北是机场，往南是火车站，从此是前程似锦也是后会无期”。一下子收获了3亿播放量。,生活,“向北是机场，往南是火车站，从此是前程似锦也是后会无期”,,一个有故事的地铁站,,,,,完成,
人间破壁机,Chloe,Eric,指一个人很厉害，可以破除不同领域之间的隔阂，得到不同圈子的认可。这里的壁是把不同圈子之间的差别比作墙壁，当一个人能无视壁涉及多个圈子，在多个圈子发展或得到肯定，就可以被称为人间破壁机。,不明,生活,周深！一个人间行走的破壁机，到处都有深哥的影子（广告）,,破圈能人,,,,,完成,
姜还是老的rua,Chloe,Eric,姜还是老的辣的意思，因rua的发音被众多网友玩梗。,出自选秀节目《创造营2021》的选手陆定昊的经典发言：“这个世界有圣诞老人，有月下老人，还有我，回锅老人。今天我要让你们知道姜还是老的rua——”。这句魔性发言也令部分网友感到好笑，于是渐渐在各处引用这句话。,明星,姜还是老的rua，你属实有点尬。,,姜还是老的辣,,,,,完成,
洛阳铲,Chloe,Eric,原为一种考古盗墓用具。在中文网络社区中，“吃我洛阳铲”或者类似表达，指的是将掉到较为靠后位置的帖子顶到首页或其他用户容易看到的位置上去。在某些方言里，“给你一洛阳铲”是一句骂人的话，描述一种“挖你祖坟”的仇恨心情。该词有侮辱性，请慎用。,出自《盗墓笔记》，意思是指挖坟。,学习,楼主吃我一记洛阳铲,,挖你*坟,,,,,完成,
感情是对抗路的大忌,Chloe,Eric,在游戏中切勿感情用事，感情在游戏中是大忌。,"出自游戏主播""是一只鱼""，他曾说过：“众所周知，感情是对抗路的大忌”，结果却被网友发现在一名为“铁岭县刘辉商店”的美女主播视频下疯狂评论，亲热互动，终究违背了自己的“至理名言”，被网友戏称为“鱼迷失在了商店”。 ",游戏,感情是对抗路的大忌，自从谈了女朋友段位就不停的往下掉。,,女人只会影响我拔刀的速度,,,,,完成,
嘎嘎以嘎斯,Chloe,Eric,是东北话，指非常过瘾很开心的意思。嘎嘎表示程度，嘎斯指的是过瘾、舒服,出自新《欢乐喜剧人》中田娃对“嘎嘎以嘎斯”的解读，用他人帮自己挠痒痒很“解嘎斯”举例解释了该词的意思。,学习,这按摩做的太舒服了，嘎嘎以嘎斯！,,很过瘾很开心,,,,,完成,
岚语,Chloe,Eric,一种新兴的现代语言流派，创造人为网络视频作者五十岚上夏，语言发音要点就是用说英语的方式说中文。,出自抖音博主“五十岚上夏”，他发布的视频中的语调使得好好的普通话带上了英语听力内味儿，着实有些魔性。,学习,有什么了不起的岚语是“Usmer Lobbach”。,,英文式中文,,,,,完成,
墨西哥牛油果,Chloe,Eric,来自一个宣传墨西哥牛油果的广告，广告的歌曲非常的欢快还很洗脑。,出自国外的一则卖牛油果的广告。因为广告中的歌曲十分欢快，其中一句“Avocados From Mexico（墨西哥牛油果）”重复洗脑，被很多外国网友用来制作鬼畜视频。后来“墨西哥牛油果”经过抖音作者“@MELANIE”的魔性演绎，也被很多的国内网友熟知，所以就有了“墨西哥牛油果”这个梗。,生活,A：叮咚  B：是谁？ A：Avocado from Mexico~,,Avocados from Mexico~,,,,,完成,
油条cp,Fahy,Eric,指的是电视剧《山河令》中的温客行和周子舒的cp名。在电视剧中周子舒说自己做了很多坏事，死后一定会下油锅。温客行表示自己会陪他，“咱们俩捻成一根油条，岂不是香喷喷美滋滋”。因此磕到糖的网友给两位主角起了个油条cp名。,不明,明星,油条cp真的kswl。,,温客行和周子舒,,,,,完成,
每个人身上都有毛毛,Fahy,Eric,是一首非常魔性洗脑的歌《毛毛歌》，原唱是张帝。,出自抖音萌宠视频博主@木子小队长，完整歌词是“每个人的身上都有毛毛~让我为你唱毛毛~到底我们身上有些什么毛~让我唱给你们知道”，通常搭配的画面是炸毛的小猫咪或者别的宠物，因为这个BGM是全人声献唱，且带有一点广西腔，听起来真的相当魔性。“每个人身上都有毛毛”，被这个刷屏的原因是抖音上很多晒猫狗的视频使用它作为bgm。,直播,“每个人的身上都有毛毛~让我为你唱毛毛~到底我们身上有些什么毛~让我唱给你们知道～”,,晒宠物神曲,,,,,完成,
赘婿吉吉国王,Fahy,Eric,指电视剧《赘婿》里的苏文兴，由于他的各个表情都特别像《熊出没》里的吉吉国王，所以网友们就给他取了一个外号“吉吉国王”。,出自最早《熊出没》这部动画片，里面的一只猴子就叫做“吉吉国王”。赘婿吉吉国王就是用来调侃《赘婿》里的一角色苏文兴长得像“吉吉国王”。,明星,赘婿是吉吉国王的原型吗？,,《赘婿》里的苏文兴,,,,,完成,
背后的原因却很暖心,Fahy,Eric,因为无论什么样的新闻，媒体总能编出背后很暖心的转折。于是网友们不管什么事情，都会发上这句话，表示自己对这类标题党的不满。如：“郑爽代孕弃子，背后的原因却令人暖心”；“郭子猿鸣三声，背后的原因却令人暖心等等”，非常的万能。这两句丝毫没有逻辑的语句变成了网络热梗。,不明,生活,“全球变暖的真正原因找到了，背后的原因很暖心”。,,虚伪的标题党,,,,,完成,
笋都被你夺完了,Fahy,Eric,是一个谐音梗，笋=损。表示的含义是说某个人的行为很损，是一种调侃的意思。,不明,学习,笋都被你夺完了，你真的是笋妈妈敲门，笋到家了！,,太损了！,,,,,完成,
咒力没用完可以放冰箱吗,Fahy,Eric,用来调侃《咒术回战》的一个人物五条悟和王雷很像的梗，因为卖鱼哥在直播间中总会被一些网友问一些很无厘头的问题，比如你的三文鱼片可以游泳吗，你卖的自行车可以开到120码吗等等让人没有办法回答的问题，所以此梗就被联合起来调侃，“咒力没用完可以放冰箱吗”，放到冰箱里还可以拿出来用吗等等调侃的意味。,出自两个不同文化的一个梗的结合，此梗是动漫《咒术回战》和主播王雷卖鱼哥之间的梗。,直播,咒力没用完可以放冰箱吗？这咒力上过大学吗？,,五条悟 v.s.王雷,,,,,完成,
全国人民都看得到,Fahy,Eric,是在微博、豆瓣、贴吧、知乎等公众平台上博主/楼主/答主发布的一些内容，因为比较容易“社会性死亡”或者内容比较小众，不适合放在光天化日之下时。,出自网上问医的聊天记录，由于问诊者说话太过骚气露骨，被医生警告：请你自重，全国人都可以看到。,学习,请你自重，全国人民都看得见。,,社会性死亡,,,,,完成,
费拉不堪,Fahy,Eric,由英文单词演化而来，通常形容（调侃）民族，文化，帝国遭受失败后一蹶不振的状态。,出自阿拉伯语“فلاح”，指在古埃及文明没落之后，依然在尼罗河领域耕作的农民。 ,学习,失去罗马之后的意大利可谓是费拉不堪。,,堕落不堪,,,,,完成,
这里是缅甸北部,Fahy,Eric,小说《插翅难飞》男主说的话，“这里是缅甸北部，我生长的地方，欢迎来到我的世界，娇贵的小公主”。后来由@树一进行配音，抖音上很多视频都用这个配音音频，因此火起来了。,出自一本经典网络小说《插翅难飞》,生活,这是缅甸北部，我生长的地方，欢迎来到我的世界。,,霸道总裁,,,,,完成,
龙丹妮倍儿牛,Fahy,Eric,快乐大本营选新人的环节准备的节目，马伯骞拿的喇叭里录的魔性声音：“龙丹妮倍儿牛”。,出自马伯谦和翟潇闻、张颜齐、伍嘉成参加的综艺《快乐大本营-站稳了朋友》，在出场前每个人都拿着喇叭吹捧自己的公司，马伯谦用十分魔性的声音说道：“龙丹妮，倍儿牛～”，让人听完一遍就欲罢不能，简直不要太魔性了。,明星,看完这场演唱会，我只想说：“龙丹妮倍儿牛”。,,欲罢不能的吹捧,,,,,完成,
闹挺大,Fahy,Eric,反二次元圣经，经典开头为“闹的挺大，我们县的高中都传疯了。”原版是反二次元吧内的网友用来反串钓鱼水贴嘲讽二次元人群的，而且经过的各种版本的创造后逐渐的出圈，引起了更多爆笑的版本模仿。,来自反二次元吧，是用来嘲讽二次元的。,二次元,埃及版：闹挺大，金字塔里都传疯了 ； EU4版：闹得挺大，旧大陆的欧洲都传疯了。,,嘲讽二次元语录,,,,,完成,
伤害性不大侮辱性极强,Fahy,Eric,常见于评论区的回复，指的是某人的言谈举止，并未对他人造成任何实质性物理伤害，但无形中却造成了巨大的精神暴击。,不明,生活,他这句“真羡慕你单身”可谓是伤害性不大侮辱性极强。,,扎心了,,,,,完成,
炒冷饭,Fahy,Eric,意思是将凉饭在锅中加温炒热；比喻重复已经说过的话或做过的事，没有新的内容。也比喻游戏厂商把老游戏围绕同一个主题不断推出。,不明,生活,这些广告企划都是在炒冷饭，怎么能激起客户的购买欲？,,毫无新意,,,,,完成,
中了抖音的毒,Fahy,Eric,指一些年龄比较小的用户，在长时间使用“抖音”APP后，对其中的视频内容进行模仿的一种现象，模仿主要表现在语言上。这样的症状与神经中毒有些类似，故被网友们成为中了抖音的毒。,不明,生活,小明真是中了抖音的毒，每天什么都不做，天天在家录短视频。,,抖音上瘾的小学生,,,,,完成,
